date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text
2020-04-24,14.899999618530273,14.5,15.699999809265137,15.399999618530273,14210,CKPT,15.099999904632568,51.615368642508265,16.35599998474121,-5.844952109946233,16.187500038146972,-4.8648674456271745,19.714500012397767,-21.88490903220601,14.19546026123998,17.72453943358424,15.094414757367458,-7.821684331997735,,
2020-04-27,15.699999809265137,14.699999809265137,22.200000762939453,18.100000381469727,268160,CKPT,18.450000286102295,60.98099576375326,16.267999992370605,11.261374415775126,16.25050004005432,11.381190344030934,19.649500012397766,-7.885694953817602,13.831244345464084,18.408755807123804,1.7058310450102088,-23.58428699468911,,
2020-04-28,18.0,16.899999618530273,18.5,17.899999618530273,60350,CKPT,17.699999809265137,60.05369291450724,16.185999984741212,10.589395992863437,16.309500036239623,9.751982456584019,19.59400001049042,-8.645505721410618,13.663038354557365,19.056961340266852,6.463473443535039,-23.67017516350537,,
2020-04-29,18.0,17.200000762939453,18.600000381469727,17.299999237060547,33290,CKPT,17.90000057220459,57.241515207094665,16.087999954223633,7.533560954037188,16.356500024795533,5.768344149633009,19.54550000667572,-11.48858186717263,14.158217391376622,19.321782150859708,11.686606953531186,-18.16058950426721,,
2020-04-30,17.299999237060547,16.5,20.0,17.600000381469727,44040,CKPT,18.25,58.29315367172144,16.029999961853026,9.794138636012907,16.411500024795533,7.241875239183093,19.491000008583068,-9.701911786366113,15.322578515844775,19.197421178979447,9.076254334582723,-12.939896683313423,,
2020-05-01,17.600000381469727,16.149999618530273,17.809999465942383,17.200000762939453,20910,CKPT,16.979999542236328,56.30472354282945,15.913999977111816,8.080939975350109,16.45750002861023,4.511625295691557,19.425500016212464,-11.456586710332372,16.934142957215965,18.305857195371924,6.429397577791041,-1.5456848484351693,,
2020-05-04,17.399999618530273,16.100000381469727,17.399999618530273,17.100000381469727,11140,CKPT,16.75,55.79234122645085,15.781999969482422,8.35128890214114,16.503500032424927,3.6143869353339353,19.36950002193451,-11.716872598129768,16.83485095042202,18.00514920216587,5.293267839204274,-1.5505814335246115,,
2020-05-05,17.200000762939453,16.100000381469727,18.0,16.899999618530273,42580,CKPT,17.050000190734863,54.719813350578704,15.633999977111817,8.097733422488695,16.55050003051758,2.1117161860261024,19.310500016212462,-12.482848168915417,16.75696634973557,17.68303380285232,4.633338473354032,-0.8463507220312083,,
2020-05-06,17.299999237060547,16.700000762939453,18.100000381469727,17.799999237060547,23640,CKPT,17.40000057220459,58.578627351315106,15.513999977111816,14.735073245593156,16.610500020980837,7.161128289800089,19.260500016212465,-7.582880911308354,16.65788259386063,17.982117558727257,1.0231366824304589,-6.416385910972222,,
2020-05-07,18.399999618530273,16.899999618530273,18.799999237060547,16.899999618530273,28920,CKPT,17.84999942779541,53.654425265910234,15.409999961853027,9.669043869991523,16.652500019073486,1.4862609168191376,19.204000010490418,-11.997502555204942,16.517882441272754,17.84211740613936,5.57466159097475,-2.26104843717595,,
2020-05-08,16.899999618530273,16.899999618530273,18.700000762939453,17.799999237060547,20410,CKPT,17.800000190734863,57.50169770759056,15.355999946594238,15.91559845640893,16.70350001335144,6.564487818916098,19.157500004768373,-7.0860016566354656,16.470542479490405,18.12945675757014,1.8508850260153142,-7.468858508724773,,
2020-05-11,17.700000762939453,17.600000381469727,18.5,17.899999618530273,23560,CKPT,18.050000190734863,57.91968937197006,15.363999938964843,16.506116178338747,16.754500007629396,6.83696684699191,19.117000002861023,-6.366063630007924,16.542612096857333,18.37738683502743,2.666967746764426,-7.583170673745476,,
2020-05-12,18.0,16.799999237060547,18.5,17.0,26460,CKPT,17.649999618530273,52.878844333760256,15.317999954223632,10.98054609480914,16.800500011444093,1.187464589863474,19.07050000667572,-10.857082960336284,16.609138292436864,18.350860792035792,7.9462399531517125,-2.2991865150772672,,
